Año,Evaluación,Nivel,Grado,UGEL,Gestión,Area,Característica,Ubigeo,Región,Provincia,Distrito,Centro Poblado,Código Modular,Anexo,Nombre de la IE,Sección,Area Academica,Estudiantes programados,Puntaje Promedio,Secciones evaluadas,Cantidad Previo al inicio,Cantidad En inicio,Cantidad En proceso,Cantidad Satisfactorio
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,F,Lectura,125,457,1,,8,10,2
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,F,Matemática,125,440,1,2,6,9,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,C,Lectura,125,473,1,,7,9,4
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,C,Matemática,125,464,1,3,3,9,5
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,B,Matemática,125,514,1,1,1,10,7
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,A,Lectura,125,470,1,,11,7,7
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,D,Matemática,125,500,1,,6,5,9
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,B,Lectura,125,528,1,1,2,6,10
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,A,Matemática,125,492,1,1,4,10,10
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,URIPA,283341,0,54182,D,Lectura,125,502,1,,4,6,10
